API-Key,Mensa
243,"Cafeteria Zentrum Sport und Sportwissenschaft (ZSSw)"
279,"UBS Restaurant Impresso"
288,"SRF Restaurant Schärenmoosstrasse"
284,"UBS Restaurant Key West"
304,"Restaurant Riverside"
280,"EY Restaurant platform"
241,"Cafeteria UZH Irchel Seerose - Mensa UZH Irchel - Cafeteria Seerose - Mittagessen"
261,"Restaurant Le Provençal"
235,"Mensa Unitobler"
244,"Mensa Gymnasium Neufeld"
272,"Restaurant Sport Cloud"
296,"Mensa Bildungszentrum Uster"
275,"ABB Restaurant Power Inn"
286,"Mensa Kantonsschule Obwalden"
315,"Mensa SIS Zürich-Wollishofen"
374,"Restaurant CFF Genève Voyageurs «chez SBB»"
283,"UBS Restaurant Opfikon - Restaurant Number One"
